gene_name,drug_name,interaction_source_db_name,interaction_score,interaction_type
ADRA1D,MIDODRINE,ChEMBL,1,agonist
PTGS2,FENOPROFEN CALCIUM,ChEMBL,1,inhibitor
PTGS2,FLURBIPROFEN,ChEMBL,1,inhibitor
PTGS2,ASPIRIN,ChEMBL,1,inhibitor
PTGS1,FENOPROFEN CALCIUM,ChEMBL,1,inhibitor
PTGS2,DICLOFENAC POTASSIUM,ChEMBL,1,inhibitor
PTGS2,INDOMETHACIN,ChEMBL,1,inhibitor
PTGS2,KETOROLAC TROMETHAMINE,ChEMBL,1,inhibitor
GUCY1B2,SODIUM NITROPRUSSIDE,ChEMBL,1,activator
KCNJ11,GLYBURIDE,ChEMBL,1,blocker
CACNA1C,NIMODIPINE,ChEMBL,1,blocker
THRB,DEXTROTHYROXINE,ChEMBL,1,agonist
ITGB1,NATALIZUMAB,ChEMBL,1,inhibitor
BCHE,RIVASTIGMINE,ChEMBL,1,inhibitor
CD80,ABATACEPT,ChEMBL,1,inhibitor
COL3A1,OCRIPLASMIN,ChEMBL,1,cleavage
COL28A1,OCRIPLASMIN,ChEMBL,1,cleavage
GLRA1,ISOFLURANE,ChEMBL,1,positive modulator
RARA,TAZAROTENE,ChEMBL,1,agonist
GABRA5,FLUMAZENIL,ChEMBL,1,negative modulator
GABRA1,CHLORDIAZEPOXIDE,ChEMBL,1,positive modulator
GABRG1,FLUMAZENIL,ChEMBL,1,negative modulator
GABRG2,CHLORDIAZEPOXIDE,ChEMBL,1,positive modulator
GABRB2,CHLORDIAZEPOXIDE,ChEMBL,1,positive modulator
GABRA2,CHLORDIAZEPOXIDE,ChEMBL,1,positive modulator
GABRG2,BUTALBITAL,ChEMBL,1,positive modulator
GABRP,BUTALBITAL,ChEMBL,1,positive modulator
GABRB1,BUTALBITAL,ChEMBL,1,positive modulator
GABRA6,BUTALBITAL,ChEMBL,1,positive modulator
GABRG2,BUTABARBITAL SODIUM,ChEMBL,1,positive modulator
GABRA4,BUTABARBITAL SODIUM,ChEMBL,1,positive modulator
GABRA2,ACAMPROSATE CALCIUM,ChEMBL,1,positive modulator
GABRE,ACAMPROSATE CALCIUM,ChEMBL,1,positive modulator
GABRA5,BUTABARBITAL SODIUM,ChEMBL,1,positive modulator
GABRQ,ACAMPROSATE CALCIUM,ChEMBL,1,positive modulator
GABRA5,ETHCHLORVYNOL,ChEMBL,1,positive modulator
GABRA3,ETHCHLORVYNOL,ChEMBL,1,positive modulator
GABRQ,METHOHEXITAL SODIUM,ChEMBL,1,positive modulator
GABRP,MIDAZOLAM HYDROCHLORIDE,ChEMBL,1,positive modulator
GABRG3,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
GABRB3,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
GABRG1,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
GABRD,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
GABRA5,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
GABRA2,PENTOBARBITAL SODIUM,ChEMBL,1,positive modulator
GABRG1,TEMAZEPAM,ChEMBL,1,positive modulator
GABRA5,THIAMYLAL SODIUM,ChEMBL,1,positive modulator
GABRP,THIAMYLAL SODIUM,ChEMBL,1,positive modulator
GABRA4,TEMAZEPAM,ChEMBL,1,positive modulator
GABRA1,THIAMYLAL SODIUM,ChEMBL,1,positive modulator
GABRD,ISOFLURANE,ChEMBL,1,positive modulator
GABRG1,ISOFLURANE,ChEMBL,1,positive modulator
CCL18,TROVAFLOXACIN MESYLATE,ChEMBL,1,inhibitor
CD3D,MUROMONAB-CD3,ChEMBL,1,inhibitor
IL12B,USTEKINUMAB,ChEMBL,1,inhibitor
POLA1,CLOFARABINE,ChEMBL,1,inhibitor
POLD4,CLOFARABINE,ChEMBL,1,inhibitor
PRIM2,CYTARABINE,ChEMBL,1,inhibitor
POLA2,FLUDARABINE,ChEMBL,1,inhibitor
POLD3,CYTARABINE,ChEMBL,1,inhibitor
POLE3,CYTARABINE,ChEMBL,1,inhibitor
SCN1A,ETHOTOIN,ChEMBL,1,blocker
SCN3A,DISOPYRAMIDE PHOSPHATE,ChEMBL,1,blocker
SCN2A,MEPIVACAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN1A,MEPIVACAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN5A,PROPARACAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN8A,PROPAFENONE HYDROCHLORIDE,ChEMBL,1,blocker
SCN4A,PROPOXYCAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN11A,PROPOXYCAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN3A,PROPAFENONE HYDROCHLORIDE,ChEMBL,1,blocker
SCN1A,PROPOXYCAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN5A,RUFINAMIDE,ChEMBL,1,blocker
SCN8A,PROPARACAINE HYDROCHLORIDE,ChEMBL,1,blocker
SCN1A,PROPAFENONE HYDROCHLORIDE,ChEMBL,1,blocker
SCN1A,INDECAINIDE HYDROCHLORIDE,ChEMBL,1,blocker
SCN1A,ZONISAMIDE,ChEMBL,1,blocker
SCN4A,TOCAINIDE HYDROCHLORIDE,ChEMBL,1,blocker
RAMP2,PRAMLINTIDE ACETATE,ChEMBL,1,agonist
RPSA,LINEZOLID,ChEMBL,1,inhibitor
MRPL36,CAPREOMYCIN SULFATE,ChEMBL,1,inhibitor
SCN11A,ESLICARBAZEPINE ACETATE,ChEMBL,1,blocker
SCN1A,ESLICARBAZEPINE ACETATE,ChEMBL,1,blocker
ITGB7,VEDOLIZUMAB,ChEMBL,1,inhibitor
PSMB2,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
PSMB1,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
PSMC5,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
PSMD12,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
PSMB7,IXAZOMIB CITRATE,ChEMBL,1,inhibitor
RARG,MOFAROTENE,ChEMBL,1,modulator
RXRB,MOFAROTENE,ChEMBL,1,modulator
AR,GLPG0492,ChEMBL,1,modulator
NR1H3,HYODEOXYCHOLIC_ACID,ChEMBL,1,agonist
AKT1,MIRANSERTIB,ChEMBL,1,inhibitor
AURKA,AMG-900,ChEMBL,1,inhibitor
MET,TELISOTUZUMAB,ChEMBL,1,inhibitor
AURKB,AMG-900,ChEMBL,1,inhibitor
EGFR,AZD-4769,ChEMBL,1,inhibitor
FLT1,CEP-7055,ChEMBL,1,inhibitor
BRAF,TOVORAFENIB,ChEMBL,1,inhibitor
CDC7,NMS-1116354,ChEMBL,1,inhibitor
CDK9,RGB-286638,ChEMBL,1,inhibitor
MAPK14,SB-85635,ChEMBL,1,inhibitor
JAK3,WHI-P131,ChEMBL,1,inhibitor
PLK1,TAK-960,ChEMBL,1,inhibitor
NR3C2,XL550,ChEMBL,1,inhibitor
IL12A,EBDAROKIMAB,ChEMBL,1,inhibitor
PPARA,ZYH7,ChEMBL,1,agonist
MAP2K1,PIMASERTIB,ChEMBL,1,inhibitor
JAK2,AZD-1480,ChEMBL,1,inhibitor
AURKA,TOZASERTIB,ChEMBL,1,inhibitor
KDR,CP-547632,ChEMBL,1,inhibitor
PIK3CG,PF-04691502,ChEMBL,1,inhibitor
PIK3CD,PILARALISIB,ChEMBL,1,inhibitor
EPHB4,TG100-801,ChEMBL,1,inhibitor
PRKCA,UCN-01,ChEMBL,1,inhibitor
LYN,TG100-801,ChEMBL,1,inhibitor
FGR,TG100-801,ChEMBL,1,inhibitor
PIK3CB,BGT-226,ChEMBL,1,inhibitor
YES1,TG100-801,ChEMBL,1,inhibitor
PIK3CD,INCB-40093,ChEMBL,1,inhibitor
CRHR1,VERUCERFONT,ChEMBL,1,inhibitor
CHRM1,DAROTROPIUM BROMIDE,ChEMBL,1,inhibitor
CCR2,AZD2423,ChEMBL,1,inhibitor
TACR1,TRADIPITANT,ChEMBL,1,inhibitor
CHRM1,AFACIFENACIN,ChEMBL,1,inhibitor
GRM5,DIPRAGLURANT,ChEMBL,1,modulator
GRIN2D,INDANTADOL,ChEMBL,1,inhibitor
KCNQ4,NERISPIRDINE,ChEMBL,1,blocker
KCNQ2,NERISPIRDINE,ChEMBL,1,blocker
KCNQ5,NERISPIRDINE,ChEMBL,1,blocker
NR3C1,MAPRACORAT,ChEMBL,1,agonist
ESR1,ACOLBIFENE,ChEMBL,1,modulator
VDR,PEFCALCITOL,ChEMBL,1,agonist
KDR,CEDIRANIB,ChEMBL,1,inhibitor
PRKCB,ENZASTAURIN,ChEMBL,1,inhibitor
RET,LESTAURTINIB,ChEMBL,1,inhibitor
GRIN2B,ESKETAMINE,ChEMBL,1,negative modulator
F2,DABIGATRAN,ChEMBL,1,inhibitor
LY96,ERITORAN TETRASODIUM,ChEMBL,1,inhibitor
PTGS2,ETORICOXIB,ChEMBL,1,inhibitor
PTGS1,BENZYDAMINE,ChEMBL,1,inhibitor
CSF3R,LIPEGFILGRASTIM,ChEMBL,1,agonist
APH1B,SEMAGACESTAT,ChEMBL,1,inhibitor
PSEN2,SEMAGACESTAT,ChEMBL,1,inhibitor
HTR2A,EPLIVANSERIN,ChEMBL,1,inhibitor
NCSTN,AVAGACESTAT,ChEMBL,1,inhibitor
RPE65,EMIXUSTAT,ChEMBL,1,inhibitor
SLC18A2,VALBENAZINE,ChEMBL,1,inhibitor
PDGFB,PEGPLERANIB SODIUM,ChEMBL,1,inhibitor
CASP1,NIVOCASAN,ChEMBL,1,inhibitor
BCL2L1,OBATOCLAX MESYLATE,ChEMBL,1,inhibitor
PDE3A,LEVOSIMENDAN,ChEMBL,1,inhibitor
GABRQ,PAGOCLONE,ChEMBL,1,positive modulator
GABRA1,PAGOCLONE,ChEMBL,1,positive modulator
GABRG1,PAGOCLONE,ChEMBL,1,positive modulator
GABRA3,PAGOCLONE,ChEMBL,1,positive modulator
IL23A,GUSELKUMAB,ChEMBL,1,inhibitor
IL12B,TILDRAKIZUMAB,ChEMBL,1,inhibitor
IL23A,TILDRAKIZUMAB,ChEMBL,1,inhibitor
TGFB1,FRESOLIMUMAB,ChEMBL,1,inhibitor
ICAM1,ENLIMOMAB PEGOL,ChEMBL,1,inhibitor
UMPS,AZARIBINE,ChEMBL,1,inhibitor
S1PR3,AMISELIMOD HYDROCHLORIDE,ChEMBL,1,modulator
DRD1,AMINEPTIN,ChEMBL,1,inhibitor
IFNA5,RONTALIZUMAB,ChEMBL,1,inhibitor
IFNA7,RONTALIZUMAB,ChEMBL,1,inhibitor
HTR1B,AMISULPRIDE,ChEMBL,1,inhibitor
HTR6,AMISULPRIDE,ChEMBL,1,inhibitor
CPT2,PERHEXILINE MALEATE,ChEMBL,1,inhibitor
EGFR,ZATUXIMAB,ChEMBL,1,inhibitor
MST1R,NARNATUMAB,ChEMBL,1,inhibitor
SSTR5,LUTETIUM DOTATATE LU-177,ChEMBL,1,binder
ERVW-4,BICTEGRAVIR,ChEMBL,1,inhibitor
FOLH1,HUJ591 111IN,ChEMBL,1,binder
GABRB2,BREXANOLONE,ChEMBL,1,positive modulator
GABRG2,BREXANOLONE,ChEMBL,1,positive modulator
IL23A,RISANKIZUMAB,ChEMBL,1,inhibitor
EEF2,TAGRAXOFUSP-ERZS,ChEMBL,1,inhibitor
ERVW-4,BICTEGRAVIR SODIUM,ChEMBL,1,inhibitor
BMX,PF-06651600,ChEMBL,1,inhibitor
TEC,PF-06651600,ChEMBL,1,inhibitor
GABRG2,CENOBAMATE,ChEMBL,1,positive modulator
GABRQ,CENOBAMATE,ChEMBL,1,positive modulator
GABRA1,CENOBAMATE,ChEMBL,1,positive modulator
SCN9A,CENOBAMATE,ChEMBL,1,inhibitor
GABRA5,CENOBAMATE,ChEMBL,1,positive modulator
PPIA,ALISPORIVIR,ChEMBL,1,inhibitor
FLT3,FEDRATINIB HYDROCHLORIDE,ChEMBL,1,inhibitor
JAK2,UPADACITINIB,ChEMBL,1,inhibitor
ESR1,ESTRIOL,ChEMBL,1,modulator
ESR2,ESTRIOL,ChEMBL,1,modulator
EPOR,EPOETIN DELTA,ChEMBL,1,agonist
PTGS1,ESFLURBIPROFEN,ChEMBL,1,inhibitor
TUBB1,RG-7841,ChEMBL,1,inhibitor
PDE4C,IBUDILAST,ChEMBL,1,inhibitor
PDE3A,IBUDILAST,ChEMBL,1,inhibitor
ESR2,LASOFOXIFENE,ChEMBL,1,modulator
ADRA1D,NAFTOPIDIL,ChEMBL,1,inhibitor
ACE,IMIDAPRIL,ChEMBL,1,inhibitor
PTGS2,LOXOPROFEN,ChEMBL,1,inhibitor
TUBB8,RG-7841,ChEMBL,1,inhibitor
SLC6A2,IOBENGUANE I-131,ChEMBL,1,other/unknown
TUBB4A,RG-7841,ChEMBL,1,inhibitor
TRAF3IP2,IGURATIMOD,ChEMBL,1,inhibitor
ABCC8,MITIGLINIDE CALCIUM DIHYDRATE,ChEMBL,1,blocker
KCNJ11,MITIGLINIDE CALCIUM DIHYDRATE,ChEMBL,1,blocker
SLC10A2,VOLIXIBAT,ChEMBL,1,inhibitor
TUBB2A,AZINTUXIZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBA1A,AZINTUXIZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBB2B,AZINTUXIZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBB8,AZINTUXIZUMAB VEDOTIN,ChEMBL,1,inhibitor
TGFB3,BINTRAFUSP ALFA,ChEMBL,1,binder
TGFB2,BINTRAFUSP ALFA,ChEMBL,1,binder
FGF1,PEGBELFERMIN,ChEMBL,1,agonist
KLB,PEGBELFERMIN,ChEMBL,1,agonist
ERVW-4,TENOFOVIR,ChEMBL,1,inhibitor
DKK1,DKN-01,ChEMBL,1,inhibitor
BRDT,PELABRESIB,ChEMBL,1,inhibitor
NT5E,OLECLUMAB,ChEMBL,1,inhibitor
PPARG,MK-0767,ChEMBL,1,agonist
TUBB3,PACLITAXEL DOCOSAHEXAENOIC ACID,ChEMBL,1,modulator
ERVW-4,BILR 355,ChEMBL,1,inhibitor
MAPT,GOSURANEMAB,ChEMBL,1,inhibitor
CCL18,TNP-2092,ChEMBL,1,inhibitor
CACNA1I,APINOCALTAMIDE,ChEMBL,1,blocker
TUBB3,PATUPILONE,ChEMBL,1,modulator
GHSR,RELAMORELIN,ChEMBL,1,agonist
HSP90AA1,SNX 5422,ChEMBL,1,inhibitor
CSF3R,LENOGRASTIM,ChEMBL,1,agonist
AGTR2,OLODANRIGAN,ChEMBL,1,inhibitor
GABRA5,ZOPICLONE,ChEMBL,1,positive modulator
GABRA6,ZOPICLONE,ChEMBL,1,positive modulator
CACNA1B,ZICONOTIDE,ChEMBL,1,blocker
TUBB3,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
TUBA4A,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
TUBB8,ENFORTUMAB VEDOTIN-EJFV,ChEMBL,1,inhibitor
TUBB8,RG-7600,ChEMBL,1,inhibitor
TUBA1B,RG-7600,ChEMBL,1,inhibitor
TUBB6,RG-7600,ChEMBL,1,inhibitor
TUBB,RG-7600,ChEMBL,1,inhibitor
TUBB2A,SOFITUZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBB3,SOFITUZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBB4A,SOFITUZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBB8,SOFITUZUMAB VEDOTIN,ChEMBL,1,inhibitor
TUBB1,SOFITUZUMAB VEDOTIN,ChEMBL,1,inhibitor
ABL1,VODOBATINIB,ChEMBL,1,inhibitor
CCL18,ZOLIFLODACIN,ChEMBL,1,inhibitor
MRPL36,SISOMICIN,ChEMBL,1,inhibitor
ROCK2,BELUMOSUDIL,ChEMBL,1,inhibitor
RPSA,ERYTHROMYCIN ACISTRATE,ChEMBL,1,inhibitor
ROCK2,FASUDIL,ChEMBL,1,inhibitor
CD3G,GLOFITAMAB,ChEMBL,1,binder
HTR4,SULPIRIDE,ChEMBL,1,agonist
FCGRT,NIPOCALIMAB,ChEMBL,1,inhibitor
BTK,PIRTOBRUTINIB,ChEMBL,1,inhibitor
HCRTR2,ORN-0829 HYDRATE,ChEMBL,1,inhibitor
INSR,"INSULIN, PROTAMINE ZINC",ChEMBL,1,agonist
CD274,INCB-086550,ChEMBL,1,inhibitor
F9,TRENONACOG ALFA,ChEMBL,1,positive modulator
TNF,ABBV-3373,ChEMBL,1,binder
NOX1,SETANAXIB,ChEMBL,1,inhibitor
CACNG1,PHLOROGLUCINOL,ChEMBL,1,blocker
CACNG6,PHLOROGLUCINOL,ChEMBL,1,blocker
PGR,TRIMEGESTONE,ChEMBL,1,agonist
CACNA1F,PHLOROGLUCINOL,ChEMBL,1,blocker
CACNB3,PHLOROGLUCINOL,ChEMBL,1,blocker
TUBA4A,MILATAXEL,ChEMBL,1,inhibitor
TUBB3,MILATAXEL,ChEMBL,1,inhibitor
TUBB4A,MILATAXEL,ChEMBL,1,inhibitor
TUBA1C,MILATAXEL,ChEMBL,1,inhibitor
TUBB2A,MILATAXEL,ChEMBL,1,inhibitor
IL5,DEPEMOKIMAB,ChEMBL,1,inhibitor
CSF3R,REGRAMOSTIM,ChEMBL,1,agonist
APLNR,APELIN,ChEMBL,1,agonist
ATP4B,FEXUPRAZAN,ChEMBL,1,inhibitor
MC2R,CORTICOTROPIN,ChEMBL,1,agonist
TUBB2B,PACLITAXEL,ChEMBL,1,inhibitor
ADRB1,ISOPROTERENOL,ChEMBL,1,agonist
ADORA2A,AMINOPHYLLINE,ChEMBL,1,inhibitor
SLC22A12,LESINURAD,ChEMBL,1,inhibitor
HDAC8,QUISINOSTAT,ChEMBL,1,inhibitor
TNF,REMTOLUMAB,ChEMBL,1,inhibitor
ACHE,PROPANIDID,ChEMBL,1,inhibitor
OPRM1,NALTREXONE,ChEMBL,1,inhibitor
GABRG1,METHAQUALONE,ChEMBL,1,positive modulator
GABRB2,FLURAZEPAM HYDROCHLORIDE,ChEMBL,1,positive modulator
TOP2B,C-1311,ChEMBL,1,inhibitor
GABRA1,PADSEVONIL,ChEMBL,1,agonist
DRD4,THIORIDAZINE,ChEMBL,1,inhibitor
AVPR2,DESMOPRESSIN,ChEMBL,1,agonist
SCN1A,OXCARBAZEPINE,ChEMBL,1,blocker
KDR,SU-014813,ChEMBL,1,inhibitor
GABRG2,FLURAZEPAM HYDROCHLORIDE,ChEMBL,1,positive modulator
CHRM1,PILOCARPINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA2B,METHYLDOPATE HYDROCHLORIDE,ChEMBL,1,agonist
MET,CAPMATINIB HYDROCHLORIDE,ChEMBL,1,inhibitor
RPL34,MT-3724,ChEMBL,1,inhibitor
CASP14,EMRICASAN,ChEMBL,1,inhibitor
TUBB4B,LIFASTUZUMAB VEDOTIN,ChEMBL,1,inhibitor
CFD,DANICOPAN,ChEMBL,1,inhibitor
TUBA1A,PLOCABULIN,ChEMBL,1,inhibitor
KIT,IMATINIB,ChEMBL,1,inhibitor
SCN3A,PRILOCAINE HYDROCHLORIDE,ChEMBL,1,blocker
KRAS,FURAPREVIR,ChEMBL,1,inhibitor
TUBB6,PATUPILONE,ChEMBL,1,modulator
KCNG3,NERISPIRDINE,ChEMBL,1,blocker
TUBB4A,FOSBRETABULIN DISODIUM,ChEMBL,1,inhibitor
GABRA6,ISOFLURANE,ChEMBL,1,positive modulator
HTR1E,ZIMELDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
ADRB1,LANDIOLOL,ChEMBL,1,inhibitor
TRPV1,XEN-D0501,ChEMBL,1,inhibitor
CACNB2,PHLOROGLUCINOL,ChEMBL,1,blocker
TUBA1C,CABAZITAXEL,ChEMBL,1,inhibitor
TBXA2R,TERBOGREL,ChEMBL,1,inhibitor
RRM2,CLOFARABINE,ChEMBL,1,inhibitor
SCN1A,RALFINAMIDE,ChEMBL,1,blocker
PPAT,AZATHIOPRINE SODIUM,ChEMBL,1,inhibitor
PRIM1,CYTARABINE,ChEMBL,1,inhibitor
NTRK1,MILCICLIB,ChEMBL,1,inhibitor
MAG,REFANEZUMAB,ChEMBL,1,inhibitor
SCN11A,RUFINAMIDE,ChEMBL,1,blocker
AKT3,LY-2780301,ChEMBL,1,inhibitor
CACNA1G,GABAPENTIN ENACARBIL,ChEMBL,1,modulator
TUBB6,CABAZITAXEL,ChEMBL,1,inhibitor
RARG,TAZAROTENE,ChEMBL,1,agonist
CD38,MEZAGITAMAB,ChEMBL,1,binder
PRKACB,GSK-690693,ChEMBL,1,inhibitor
GABRB2,CHLORDIAZEPOXIDE HYDROCHLORIDE,ChEMBL,1,positive modulator
THRB,RESMETIROM,ChEMBL,1,agonist
ERVW-4,TENOFOVIR DISOPROXIL FUMARATE,ChEMBL,1,inhibitor
TNNT2,LEVOSIMENDAN,ChEMBL,1,positive modulator
RPSA,NAFITHROMYCIN,ChEMBL,1,inhibitor
IL22RA1,EFLEPEDOCOKIN ALFA,ChEMBL,1,agonist
ADRA2C,ESMIRTAZAPINE MALEATE,ChEMBL,1,inhibitor
GABRG3,ETHCHLORVYNOL,ChEMBL,1,positive modulator
HRH1,MIZOLASTINE,ChEMBL,1,inhibitor
CACNA1G,SUVECALTAMIDE,ChEMBL,1,modulator
MRPL36,TEDIZOLID,ChEMBL,1,inhibitor
MRPL36,PAROMOMYCIN SULFATE,ChEMBL,1,inhibitor
GABRD,BREXANOLONE,ChEMBL,1,positive modulator
MTOR,PERHEXILINE MALEATE,ChEMBL,1,inhibitor
ADRB1,EPINEPHRINE BITARTRATE,ChEMBL,1,agonist
SLC5A2,LICOGLIFLOZIN,ChEMBL,1,inhibitor
SIGMAR1,PENTAZOCINE LACTATE,ChEMBL,1,modulator
HDAC1,FIMEPINOSTAT,ChEMBL,1,inhibitor
CACNG5,SULOCTIDIL,ChEMBL,1,blocker
MYL2,OMECAMTIV MECARBIL,ChEMBL,1,activator
RRM2B,CLOFARABINE,ChEMBL,1,inhibitor
LAMA2,OCRIPLASMIN,ChEMBL,1,cleavage
KCNG2,NERISPIRDINE,ChEMBL,1,blocker
LCK,TG100-801,ChEMBL,1,inhibitor
CACNA1G,SULOCTIDIL,ChEMBL,1,blocker
LINC00473,IBUDILAST,ChEMBL,1,inhibitor
BRAF,VEMURAFENIB,ChEMBL,1,inhibitor
PDGFRA,PAZOPANIB,ChEMBL,1,inhibitor
SLC6A2,DESVENLAFAXINE FUMARATE,ChEMBL,1,inhibitor
MC4R,BREMELANOTIDE ACETATE,ChEMBL,1,agonist
EGLN3,VADADUSTAT,ChEMBL,1,inhibitor
MYH7,OMECAMTIV MECARBIL,ChEMBL,1,activator
HTR3C,PUMOSETRAG,ChEMBL,1,agonist
GABRA2,METHOHEXITAL SODIUM,ChEMBL,1,positive modulator
BDKRB2,LABRADIMIL,ChEMBL,1,agonist
ADORA1,THEOPHYLLINE SODIUM GLYCINATE,ChEMBL,1,inhibitor
TUBB,SOFITUZUMAB VEDOTIN,ChEMBL,1,inhibitor
HTR2A,THIOTHIXENE HYDROCHLORIDE,ChEMBL,1,inhibitor
NR3C1,PREDNISOLONE TEBUTATE,ChEMBL,1,agonist
ADORA2B,AMINOPHYLLINE,ChEMBL,1,inhibitor
CALCR,DAVALINTIDE,ChEMBL,1,agonist
FN1,L19TNFA,ChEMBL,1,binder
IL2RB,MIK-BETA-1,ChEMBL,1,inhibitor
MUC1,EPITUMOMAB CITUXETAN,ChEMBL,1,binder
ADRA1D,OXYMETAZOLINE HYDROCHLORIDE,ChEMBL,1,agonist
GABRP,ETHCHLORVYNOL,ChEMBL,1,positive modulator
RARG,IRX4310,ChEMBL,1,inhibitor
ERVW-4,RILPIVIRINE,ChEMBL,1,inhibitor
SLC6A2,FAXELADOL,ChEMBL,1,inhibitor
ERVW-4,ATEVIRDINE MESYLATE,ChEMBL,1,inhibitor
GABRQ,METHAQUALONE HYDROCHLORIDE,ChEMBL,1,positive modulator
KLKB1,LANADELUMAB-FLYO,ChEMBL,1,inhibitor
EGFR,PIMURUTAMAB,ChEMBL,1,inhibitor
SCN9A,PROCAINE HYDROCHLORIDE,ChEMBL,1,blocker
METAP2,ACLIMOSTAT,ChEMBL,1,inhibitor
PARP2,E-7016,ChEMBL,1,inhibitor
TUBB4A,KOS-1584,ChEMBL,1,modulator
HTR1D,ZIMELDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
BRAF,ENCORAFENIB,ChEMBL,1,inhibitor
TUBB2A,PATUPILONE,ChEMBL,1,modulator
CHRM3,OXYBUTYNIN,ChEMBL,1,inhibitor
PDE4B,DIFAMILAST,ChEMBL,1,inhibitor
CHRM3,TOLTERODINE,ChEMBL,1,inhibitor
CHRM3,TROPICAMIDE,ChEMBL,1,inhibitor
CHRM3,SOLIFENACIN SUCCINATE,ChEMBL,1,inhibitor
CHRM3,TIOTROPIUM BROMIDE,ChEMBL,1,inhibitor
ACE,SPIRAPRIL HYDROCHLORIDE,ChEMBL,1,inhibitor
HRH1,PROPIOMAZINE HYDROCHLORIDE,ChEMBL,1,inhibitor
ERBB2,LAPATINIB,ChEMBL,1,inhibitor
CHRM1,PROCYCLIDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
CHRM1,METHIXENE HYDROCHLORIDE,ChEMBL,1,inhibitor
SLC12A3,HYDROCHLOROTHIAZIDE,ChEMBL,1,inhibitor
SLC6A4,CLOMIPRAMINE HYDROCHLORIDE,ChEMBL,1,inhibitor
HRH2,CIMETIDINE HYDROCHLORIDE,ChEMBL,1,inhibitor
HTR1D,SUMATRIPTAN,ChEMBL,1,agonist
INSR,INSULIN ZINC SUSP PURIFIED BEEF/PORK,ChEMBL,1,agonist
SLC6A2,PSEUDOEPHEDRINE POLISTIREX,ChEMBL,1,other/unknown
SLC6A2,NEFAZODONE HYDROCHLORIDE,ChEMBL,1,inhibitor
KCNA5,VERNAKALANT HYDROCHLORIDE,ChEMBL,1,blocker
CA12,ACETAZOLAMIDE,ChEMBL,1,inhibitor
FGFR3,PAZOPANIB,ChEMBL,1,inhibitor
ERVW-4,RALTEGRAVIR POTASSIUM,ChEMBL,1,inhibitor
PGR,HYDROXYPROGESTERONE CAPROATE (USP),ChEMBL,1,agonist
CA14,ETHOXZOLAMIDE,ChEMBL,1,inhibitor
CA4,ETHOXZOLAMIDE,ChEMBL,1,inhibitor
TUBA1C,ADO-TRASTUZUMAB EMTANSINE,ChEMBL,1,inhibitor
TUBB,ADO-TRASTUZUMAB EMTANSINE,ChEMBL,1,inhibitor
PSMB6,IXAZOMIB,ChEMBL,1,inhibitor
TUBB4B,CABAZITAXEL,ChEMBL,1,inhibitor
TUBB3,CABAZITAXEL,ChEMBL,1,inhibitor
TUBB6,VINCRISTINE SULFATE,ChEMBL,1,inhibitor
TUBB3,VINCRISTINE SULFATE,ChEMBL,1,inhibitor
TUBB4A,VINCRISTINE SULFATE,ChEMBL,1,inhibitor
TUBA1A,VINBLASTINE SULFATE,ChEMBL,1,inhibitor
TUBA3E,VINORELBINE TARTRATE,ChEMBL,1,inhibitor
GRIN3B,ACAMPROSATE CALCIUM,ChEMBL,1,inhibitor
GRIN1,AMANTADINE HYDROCHLORIDE,ChEMBL,1,inhibitor
ADRA2C,CLONIDINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA2A,TETRAHYDROZOLINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA1D,TETRAHYDROZOLINE HYDROCHLORIDE,ChEMBL,1,agonist
ADRA1A,AJMALICINE,ChEMBL,1,inhibitor
RRM2,FLUDARABINE,ChEMBL,1,inhibitor
RRM1,CLOFARABINE,ChEMBL,1,inhibitor
