gene_name,drug_name,interaction_source_db_name,interaction_score,interaction_type
ABO,ATENOLOL,GuideToPharmacology,1,inhibitor
ABCF1,A-123189,GuideToPharmacology,1,inhibitor
AMD1,JNJ-39758979,GuideToPharmacology,1,inhibitor
SHROOM2,"L-796,778",GuideToPharmacology,1,agonist
FPR3,OTAMIXABAN,GuideToPharmacology,1,inhibitor
BTD,ARCAINE,GuideToPharmacology,1,activator
APOC4,PBT-3,GuideToPharmacology,1,inhibitor
ACTC1,CCL13,GuideToPharmacology,1,agonist
BLVRB,BPH-830,GuideToPharmacology,1,inhibitor
SHROOM2,[111IN]DOTA-NOC,GuideToPharmacology,1,agonist
SLC25A6,COMPOUND 24D [PMID: 23357634],GuideToPharmacology,1,modulator
AAMP,"WIN 51,708",GuideToPharmacology,1,modulator
DRD5P1,MK-2461,GuideToPharmacology,1,inhibitor
ANXA2P3,[PRO34]NPY,GuideToPharmacology,1,agonist
DMTN,MLN-120B,GuideToPharmacology,1,inhibitor
ADH1C,YH18968,GuideToPharmacology,1,agonist
SLC1A1,DL-TBOA,GuideToPharmacology,1,inhibitor
ANTP2,ADX71743,GuideToPharmacology,1,modulator
A12M4,TEGASEROD,GuideToPharmacology,1,inhibitor
APOD,TFLLR-NH2,GuideToPharmacology,1,agonist
ATP5F1BP1,MAVATREP,GuideToPharmacology,1,blocker
CYP1B1,"2,3',4,5'-TETRAMETHOXYSTILBENE",GuideToPharmacology,1,inhibitor
AMPD3,BRP-LPA,GuideToPharmacology,1,inhibitor
GART,BELINOSTAT,GuideToPharmacology,1,inhibitor
AQP2,[125I]LTT-SRIF-28,GuideToPharmacology,1,agonist
AQP9,ARGIPRESSIN,GuideToPharmacology,1,agonist
A1BG,SERTINDOLE,GuideToPharmacology,1,inhibitor
ASS1P5,"2-AMINO-3-(3-HYDROXY-7,8-DIHYDRO-6H-CYCLOHEPTA[D]-4-ISOXAZOLYL)PROPIONIC ACID",GuideToPharmacology,1,agonist
DPT,LUCITANIB,GuideToPharmacology,1,inhibitor
F7R,AZD8835,GuideToPharmacology,1,inhibitor
CFTR,ABBV-3221,GuideToPharmacology,1,activator
COX5BP1,COMPOUND 23 [PMID: 17125252],GuideToPharmacology,1,inhibitor
GLUD1P3,DEXTROAMPHETAMINE SULFATE,GuideToPharmacology,1,activator
ANK3,S22153,GuideToPharmacology,1,agonist
KCNQ3,AZETUKALNER,GuideToPharmacology,1,activator
FPR1,COMPOUND 24DD [PMID: 20684603],GuideToPharmacology,1,inhibitor
PRDM1,COMPOUND 4FF [PMID: 1656041],GuideToPharmacology,1,inhibitor
EPHA7,ZIMLOVISERTIB,GuideToPharmacology,1,inhibitor
AADAC,CLOZAPINE,GuideToPharmacology,1,modulator
FRA7J,ST074946,GuideToPharmacology,1,inhibitor
A12M3,CLOZAPINE,GuideToPharmacology,1,inhibitor
F7R,QUINOSTATIN,GuideToPharmacology,1,inhibitor
ACTG1,TIQ-15,GuideToPharmacology,1,inhibitor
NKX3-2,PROTOXIN II,GuideToPharmacology,1,inhibitor
FASLG,LANREOTIDE ACETATE,GuideToPharmacology,1,agonist
ATP2A2,GD3+,GuideToPharmacology,1,blocker
GLUD1P3,BRINZOLAMIDE,GuideToPharmacology,1,inhibitor
DXO,EGFR INHIBITOR,GuideToPharmacology,1,inhibitor
DRD4,MK-2461,GuideToPharmacology,1,inhibitor
FSHMD1A,BIFEMELANE,GuideToPharmacology,1,inhibitor
FRA2E,COMPOUND 3 [PMID: 23849879],GuideToPharmacology,1,inhibitor
ABCA1,CV-1674,GuideToPharmacology,1,agonist
ABL2,LURASIDONE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
AMHR2,BAYCYSLT2,GuideToPharmacology,1,inhibitor
ABCD1,UNC0006,GuideToPharmacology,1,agonist
ADH4,LINOLEIC ACID,GuideToPharmacology,1,agonist
BBS1,AM-6120,GuideToPharmacology,1,inhibitor
COL11A2,ROLIPRAM,GuideToPharmacology,1,inhibitor
FASLG,TYR3-OCTREOTIDE,GuideToPharmacology,1,agonist
GRM7,ITOLIZUMAB,GuideToPharmacology,1,antibody
ATP4A,ISOSAKURANETIN,GuideToPharmacology,1,blocker
FEN1,COMPOUND 6 [PMID: 34333981],GuideToPharmacology,1,inhibitor
ASIC1,D-LYS0-[DES-ARG10]KALLIDIN,GuideToPharmacology,1,agonist
BEVI,HYDROXYFLUTAMIDE,GuideToPharmacology,1,inhibitor
GRK3,CORTISTATIN-14,GuideToPharmacology,1,agonist
SLC26A3,DEBIO-1347,GuideToPharmacology,1,inhibitor
DPYS,TANDUTINIB,GuideToPharmacology,1,inhibitor
MS4A2,CCT241161,GuideToPharmacology,1,inhibitor
ACTBP9,CXCL1,GuideToPharmacology,1,agonist
AAVS1,HIMBACINE,GuideToPharmacology,1,inhibitor
OPN1MW,UNC0638,GuideToPharmacology,1,inhibitor
DRD4,SAVOLITINIB,GuideToPharmacology,1,inhibitor
BIRC5,[ILE5]PTHRP-(1-36),GuideToPharmacology,1,agonist
DRD2,FORETINIB,GuideToPharmacology,1,inhibitor
AANAT,AMITRIPTYLINE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
CD8B,TRIMIPRAMINE,GuideToPharmacology,1,inhibitor
ABL2,MK-912,GuideToPharmacology,1,inhibitor
ABCA1,MRS3558,GuideToPharmacology,1,agonist
GAPDHP1,BUTYRIC ACID,GuideToPharmacology,1,inhibitor
A2M,"BMS 181,101",GuideToPharmacology,1,agonist
A12M2,DIPROPYL-5-CT,GuideToPharmacology,1,agonist
A12M2,5-BODMT,GuideToPharmacology,1,agonist
A12M3,MK-212,GuideToPharmacology,1,agonist
A12M4,DIHYDROERGOCRYPTINE,GuideToPharmacology,1,agonist
A12M4,RS-127445,GuideToPharmacology,1,inhibitor
HTR2C,LY334362,GuideToPharmacology,1,inhibitor
NAT1,BIMU 8,GuideToPharmacology,1,agonist
HTR2C,VOLINANSERIN,GuideToPharmacology,1,inhibitor
DNCM,PANULISIB,GuideToPharmacology,1,inhibitor
ABCB7,(+)-ADRENALINE,GuideToPharmacology,1,agonist
ABCA4,SPIROXATRINE,GuideToPharmacology,1,inhibitor
ABCA4,TERAZOSIN,GuideToPharmacology,1,inhibitor
ABCA4,HEAT (BE2254),GuideToPharmacology,1,inhibitor
ABCA4,METHOXAMINE,GuideToPharmacology,1,agonist
ABCA4,A-123189,GuideToPharmacology,1,inhibitor
ABL1,BRL 44408,GuideToPharmacology,1,inhibitor
ABL1,APRACLONIDINE,GuideToPharmacology,1,agonist
ABL1,NOREPINEPHRINE,GuideToPharmacology,1,agonist
ABL1,ARC-239,GuideToPharmacology,1,inhibitor
AOC1,APOMORPHINE,GuideToPharmacology,1,inhibitor
AOC1,BRL 44408,GuideToPharmacology,1,inhibitor
AOC1,XYLOMETAZOLINE,GuideToPharmacology,1,agonist
AOC1,PHENOXYBENZAMINE,GuideToPharmacology,1,inhibitor
AOC1,NOREPINEPHRINE,GuideToPharmacology,1,agonist
ABL2,BRL 44408,GuideToPharmacology,1,inhibitor
ABL2,IDAZOXAN,GuideToPharmacology,1,inhibitor
ABL2,XYLOMETAZOLINE,GuideToPharmacology,1,agonist
ANPEP,BTB07018,GuideToPharmacology,1,inhibitor
BEVI,STANOLONE,GuideToPharmacology,1,agonist
ANPEP,COMPOUND 1A [PMID: 25692029],GuideToPharmacology,1,inhibitor
ABAT,THEOPHYLLINE,GuideToPharmacology,1,inhibitor
ABAT,PSB1115,GuideToPharmacology,1,inhibitor
ABCA1,IMARADENANT,GuideToPharmacology,1,inhibitor
ABCA1,DPCPX,GuideToPharmacology,1,inhibitor
ABCA3,CCPA,GuideToPharmacology,1,agonist
EEF1B2P2,AZD0156,GuideToPharmacology,1,inhibitor
ABCA3,MRE 3010F20,GuideToPharmacology,1,inhibitor
ACADM,AZILSARTAN MEDOXOMIL,GuideToPharmacology,1,inhibitor
EEF1D,BARASERTIB,GuideToPharmacology,1,inhibitor
GNG11,SM-122,GuideToPharmacology,1,inhibitor
AXL,SITRAVATINIB,GuideToPharmacology,1,inhibitor
GNGT1,SM-122,GuideToPharmacology,1,inhibitor
ACAT2,NEUROMEDIN B (1-30) (HUMAN),GuideToPharmacology,1,agonist
ACAT2,AM-37,GuideToPharmacology,1,inhibitor
GPR21,NAVITOCLAX,GuideToPharmacology,1,inhibitor
GPR22,NAVITOCLAX,GuideToPharmacology,1,inhibitor
ABR,CGP 12177,GuideToPharmacology,1,agonist
ABR,CGP 12177,GuideToPharmacology,1,inhibitor
ACAA1,CGP 12177,GuideToPharmacology,1,agonist
EEGV1,NEMTABRUTINIB,GuideToPharmacology,1,inhibitor
DNMT3B,GALUNISERTIB,GuideToPharmacology,1,inhibitor
EFNA2,GDC-0879,GuideToPharmacology,1,inhibitor
EFNA4,COMPOUND 6 [PMID: 30125504],GuideToPharmacology,1,inhibitor
EFNA4,ARV-771,GuideToPharmacology,1,inhibitor
BRD3,MOLIBRESIB,GuideToPharmacology,1,inhibitor
EFNA4,WNY0824,GuideToPharmacology,1,inhibitor
EFNB2,COMPOUND 2C [PMID: 24900538],GuideToPharmacology,1,inhibitor
ASIC1,[125I]HPP-DESARG10HOE140,GuideToPharmacology,1,inhibitor
BDKRB2,LABRADIMIL,GuideToPharmacology,1,agonist
BDKRB2,[3H]NPC17731,GuideToPharmacology,1,inhibitor
FRA20A,BAMBUTEROL,GuideToPharmacology,1,inhibitor
BDKRB2,NPC 18565,GuideToPharmacology,1,inhibitor
ACACA,ORYZATENSIN,GuideToPharmacology,1,agonist
GAPDH,BRINZOLAMIDE,GuideToPharmacology,1,inhibitor
C1QBP,"INS(3,4,5,6)P4",GuideToPharmacology,1,blocker
GAPDH,BENZOLAMIDE,GuideToPharmacology,1,inhibitor
CYP2C8,COMPOUND 15B [PMID: 18334293],GuideToPharmacology,1,inhibitor
C1QBP,TANNIC ACID,GuideToPharmacology,1,blocker
DAZL,Z-VDVAD-FMK,GuideToPharmacology,1,inhibitor
ELAVL3,COMPOUND 14 [PMID: 24900428],GuideToPharmacology,1,inhibitor
ELF1,IC261,GuideToPharmacology,1,inhibitor
CPN1,"SQ-24,798",GuideToPharmacology,1,inhibitor
ELF2,IC261,GuideToPharmacology,1,inhibitor
HRG,ONC201,GuideToPharmacology,1,modulator
FNZ,COMPOUND 3 [PMID: 8410973],GuideToPharmacology,1,inhibitor
CACNA1H,ML218,GuideToPharmacology,1,blocker
FOLR2L,GC-376,GuideToPharmacology,1,inhibitor
ACRV1,[3H]WIN55212-2,GuideToPharmacology,1,agonist
CCKBR,YM-022,GuideToPharmacology,1,inhibitor
ACTA2,CCL11,GuideToPharmacology,1,agonist
ACTA2,AZD2423,GuideToPharmacology,1,modulator
ACTB,[125I]CCL7 (HUMAN),GuideToPharmacology,1,agonist
ACTB,CXCL10,GuideToPharmacology,1,inhibitor
ACTBP2,BMS-741672,GuideToPharmacology,1,inhibitor
ACTBP2,CCL11,GuideToPharmacology,1,agonist
CFTR,UCCF-853,GuideToPharmacology,1,activator
CPT2,BENZQUINAMIDE,GuideToPharmacology,1,inhibitor
CPT2,KETOPROFEN,GuideToPharmacology,1,inhibitor
CPT1B,SC-560,GuideToPharmacology,1,inhibitor
CPT2,MEFENAMIC ACID,GuideToPharmacology,1,inhibitor
ALB,SAUVAGINE,GuideToPharmacology,1,agonist
ACTG1,ULOCUPLUMAB,GuideToPharmacology,1,antibody
EGR4,R547,GuideToPharmacology,1,inhibitor
EIF4A1,CDK4 INHIBITOR II,GuideToPharmacology,1,inhibitor
EIF4A1,BOHEMINE,GuideToPharmacology,1,inhibitor
CDK4,TIBREMCICLIB,GuideToPharmacology,1,inhibitor
EIF4EBP1,LEROCICLIB,GuideToPharmacology,1,inhibitor
EIF4EP1,PONATINIB,GuideToPharmacology,1,inhibitor
EIF4EBP2,BS-181,GuideToPharmacology,1,inhibitor
EIF4G2,COMPOUND 9B [PMID: 18986805],GuideToPharmacology,1,inhibitor
ENO3,SB203580,GuideToPharmacology,1,inhibitor
CLDN3,COMPOUND 4D [PMID: 20655626],GuideToPharmacology,1,inhibitor
COX5BP3,TERFENADINE,GuideToPharmacology,1,inhibitor
CORD4,COMPOUND 23 [PMID: 17125252],GuideToPharmacology,1,inhibitor
COX4I1,COMPOUND 9 [PMID: 11606127],GuideToPharmacology,1,inhibitor
AMHR2,ZAFIRLUKAST,GuideToPharmacology,1,inhibitor
AMPD1,IRALUKAST,GuideToPharmacology,1,inhibitor
AMPD1,ICI198615,GuideToPharmacology,1,inhibitor
AMPD1,ZAFIRLUKAST,GuideToPharmacology,1,inhibitor
APAF1,NALBUPHINE HYDROCHLORIDE,GuideToPharmacology,1,agonist
APAF1,NALTRINDOLE,GuideToPharmacology,1,inhibitor
APAF1,[3H]DIPRENORPHINE,GuideToPharmacology,1,agonist
APAF1,METHYLNALTREXONE,GuideToPharmacology,1,inhibitor
CRIP2,DH376,GuideToPharmacology,1,inhibitor
DHODH,DSM705,GuideToPharmacology,1,inhibitor
ALDH1A1,DOPAMINE,GuideToPharmacology,1,agonist
ALDH3A1,APOMORPHINE,GuideToPharmacology,1,agonist
FPR2,COMPOUND 4G [PMID: 22595175],GuideToPharmacology,1,inhibitor
FPR2,ALVELESTAT,GuideToPharmacology,1,inhibitor
EZH2,EBI-2511,GuideToPharmacology,1,inhibitor
DXO,TIGOZERTINIB,GuideToPharmacology,1,inhibitor
DXO,MIFANERTINIB,GuideToPharmacology,1,inhibitor
DXO,LAPATINIB,GuideToPharmacology,1,inhibitor
DXO,PIROTINIB,GuideToPharmacology,1,inhibitor
BLVRA,COMPOUND 2 [PMID: 18295483],GuideToPharmacology,1,inhibitor
CRMP1,OL135,GuideToPharmacology,1,inhibitor
FASN,GSK2194069,GuideToPharmacology,1,inhibitor
ALDOA,CATPB,GuideToPharmacology,1,inhibitor
ABCD2,MYRISTIC ACID,GuideToPharmacology,1,agonist
ALDOA,PROPIONIC ACID,GuideToPharmacology,1,agonist
FGR,COMPOUND 2C [PMID: 24900538],GuideToPharmacology,1,inhibitor
FFAR3,PROPIONIC ACID,GuideToPharmacology,1,agonist
FFAR3,1-METHYLCYCLOPROPANECARBOXYLIC ACID,GuideToPharmacology,1,agonist
DPYSL2,COMPOUND 2C [PMID: 24900538],GuideToPharmacology,1,inhibitor
DPYSL2,LUCITANIB,GuideToPharmacology,1,inhibitor
FRA1F,ARI-3099,GuideToPharmacology,1,inhibitor
DPYSL2,PEMIGATINIB,GuideToPharmacology,1,inhibitor
DR1,TASURGRATINIB,GuideToPharmacology,1,inhibitor
GAPDHP67,CYCLOHEXIMIDE,GuideToPharmacology,1,inhibitor
HNMT,SLF,GuideToPharmacology,1,inhibitor
DRD1,OSI-930,GuideToPharmacology,1,inhibitor
DRD1,SITRAVATINIB,GuideToPharmacology,1,inhibitor
DPYS,DENFIVONTINIB,GuideToPharmacology,1,inhibitor
DPYS,AKN-028,GuideToPharmacology,1,inhibitor
DRD3,MK-2461,GuideToPharmacology,1,inhibitor
DPYS,JNJ-28312141,GuideToPharmacology,1,inhibitor
ALDH3B2,DEOXYCHOLIC ACID,GuideToPharmacology,1,inhibitor
ALDH9A1,"PYRAZOLONE, 1",GuideToPharmacology,1,agonist
ALDH9A1,MMK-1,GuideToPharmacology,1,agonist
APOC2,CLOPROSTENOL,GuideToPharmacology,1,agonist
ALDH9A1,COMPOUND 1754-31 [PMID: 23788657],GuideToPharmacology,1,inhibitor
ALDH9A1,T-BOC-FLFLF,GuideToPharmacology,1,inhibitor
APOC2,TAFLUPROST,GuideToPharmacology,1,agonist
APOC2,CARBACYCLIN,GuideToPharmacology,1,agonist
ALS3,[125I]FSH (HUMAN),GuideToPharmacology,1,agonist
GABRA1,&ALPHA;3IA,GuideToPharmacology,1,modulator
BMAL1,GABOXADOL,GuideToPharmacology,1,agonist
ALOX12P2,M1153,GuideToPharmacology,1,agonist
CD14,TIAGABINE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
ASS1,NBQX,GuideToPharmacology,1,inhibitor
ASS1P2,NBQX,GuideToPharmacology,1,inhibitor
ASS1P6,DOMOIC ACID,GuideToPharmacology,1,agonist
GRIN2B,MG2+,GuideToPharmacology,1,blocker
GNRHR,GOSERELIN ACETATE,GuideToPharmacology,1,agonist
CD24P2,ALX 1405,GuideToPharmacology,1,inhibitor
ALDH3B1,FULVESTRANT,GuideToPharmacology,1,agonist
GNRHR,T-98475,GuideToPharmacology,1,inhibitor
GNRHR,WAY-207024,GuideToPharmacology,1,inhibitor
GNRHR,CYCLORELIX,GuideToPharmacology,1,inhibitor
GDF2,TRICHOSTATIN A,GuideToPharmacology,1,inhibitor
GARS1,DACINOSTAT,GuideToPharmacology,1,inhibitor
MSTN,CHR-3996,GuideToPharmacology,1,inhibitor
HDAC4,DACINOSTAT,GuideToPharmacology,1,inhibitor
GART,MARBOSTAT-100,GuideToPharmacology,1,inhibitor
GAS1,APICIDIN,GuideToPharmacology,1,inhibitor
GAS2,DACINOSTAT,GuideToPharmacology,1,inhibitor
GDF9,SCRIPTAID,GuideToPharmacology,1,inhibitor
GAS1,SCRIPTAID,GuideToPharmacology,1,inhibitor
AMD1,ARIPIPRAZOLE LAUROXIL,GuideToPharmacology,1,inhibitor
AMD1,BILASTINE,GuideToPharmacology,1,inhibitor
AMD1,(&PLUSMN;)-CIS-H2-PAT,GuideToPharmacology,1,inhibitor
AMD1,FLUSPIRILENE,GuideToPharmacology,1,inhibitor
AMD1,RUPATADINE,GuideToPharmacology,1,inhibitor
AMD1,CYPROHEPTADINE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
AMD1,FEXOFENADINE HYDROCHLORIDE,GuideToPharmacology,1,inhibitor
AMD1,DOTHIEPIN,GuideToPharmacology,1,inhibitor
AMD1P2,UR-PG146,GuideToPharmacology,1,agonist
AMD1P2,PITOLISANT,GuideToPharmacology,1,inhibitor
HOXC5,BI-3231,GuideToPharmacology,1,inhibitor
PRDM1,COMPOUND 41 [PMID: 17574411],GuideToPharmacology,1,inhibitor
ACTG1P10,SPHINGOSINE 1-PHOSPHATE,GuideToPharmacology,1,agonist
ADAM10,FUROSEMIDE,GuideToPharmacology,1,agonist
ADD3,2-HYDROXY CAPRIC ACID,GuideToPharmacology,1,agonist
GRK2,CHLOROQUINE,GuideToPharmacology,1,agonist
IDO2,TRYPTANTHRIN 5I,GuideToPharmacology,1,inhibitor
GRK3,ERAS-5024,GuideToPharmacology,1,agonist
APOC3,CARBACYCLIN,GuideToPharmacology,1,agonist
FOXL2,COUMESTROL,GuideToPharmacology,1,agonist
EPHB3,JAK INHIBITOR 17B,GuideToPharmacology,1,inhibitor
EPHB3,JAK INHIBITOR 20A,GuideToPharmacology,1,inhibitor
NUDT2,DYNORPHIN A-(1-8),GuideToPharmacology,1,agonist
NUDT2,&BETA;-NEOENDORPHIN,GuideToPharmacology,1,agonist
NUDT2,BUTORPHANOL,GuideToPharmacology,1,agonist
NUDT2,5'-GUANIDINONALTRINDOLE,GuideToPharmacology,1,inhibitor
DRD2,GSK2646264,GuideToPharmacology,1,inhibitor
DRD2,LUCITANIB,GuideToPharmacology,1,inhibitor
DRD2,AZD-4547,GuideToPharmacology,1,inhibitor
DRD2,SITRAVATINIB,GuideToPharmacology,1,inhibitor
AMELY,[125I]TYR45-KISSPEPTIN-15,GuideToPharmacology,1,agonist
DPT,LABUXTINIB,GuideToPharmacology,1,inhibitor
DPT,AKN-028,GuideToPharmacology,1,inhibitor
ATP5MC2P1,RUTHENIUM RED,GuideToPharmacology,1,inhibitor
KCNJ5,NIP-142,GuideToPharmacology,1,blocker
KCNT2,TETRAMETHYLAMMONIUM,GuideToPharmacology,1,blocker
BAD,TERFENADINE,GuideToPharmacology,1,blocker
ATP5PO,&KAPPA;M-CONOTOXIN RIIIK,GuideToPharmacology,1,blocker
ATP7B,HSTX1[R14A],GuideToPharmacology,1,blocker
AZF2,AZETUKALNER,GuideToPharmacology,1,activator
AZGP1,XE991,GuideToPharmacology,1,inhibitor
AVPR1A,TETRAMETHYLAMMONIUM,GuideToPharmacology,1,blocker
AZF2,LINOPIRDINE,GuideToPharmacology,1,inhibitor
KCNQ5,(S)-N-[1-(3-MORPHOLIN-4-YL-PHENYL)-ETHYL]-3-PHENYL-ACRYLAMIDE,GuideToPharmacology,1,activator
LATS2,COMPOUND 35 [PMID: 20684608],GuideToPharmacology,1,inhibitor
EPS8,GNE-7915,GuideToPharmacology,1,inhibitor
LATS2,TRULI,GuideToPharmacology,1,inhibitor
EPHX2,GSK2646264,GuideToPharmacology,1,inhibitor
STX2,COMPOUND 30 [PMID: 22902653],GuideToPharmacology,1,inhibitor
LTC4S,EXAMPLE 36 [WO2016177845],GuideToPharmacology,1,inhibitor
CRHR2,COMPOUND 1A [PMID: 25692029],GuideToPharmacology,1,inhibitor
GAMT,COMPOUND 41 [PMID: 15026062],GuideToPharmacology,1,inhibitor
BAK1P2,22R-HYDROXYCHOLESTEROL,GuideToPharmacology,1,agonist
AMPH,KI16425,GuideToPharmacology,1,inhibitor
AMPD3,VPC32179,GuideToPharmacology,1,inhibitor
BIN1,AM966,GuideToPharmacology,1,inhibitor
GEM,NCL-1,GuideToPharmacology,1,inhibitor
EPS15,PEXMETINIB,GuideToPharmacology,1,inhibitor
GFRA2,ML324,GuideToPharmacology,1,inhibitor
ANGPT2,AGOUTI-RELATED PROTEIN,GuideToPharmacology,1,inhibitor
ANOP1,COMPOUND 11S [PMID: 19433355],GuideToPharmacology,1,modulator
ANPEP,"(1S,3R)-ACPD",GuideToPharmacology,1,agonist
ANOP1,COMPOUND 9A [PMID: 22266036],GuideToPharmacology,1,modulator
ANPEP,DCG-IV,GuideToPharmacology,1,agonist
ANPEP,4-MPPTS,GuideToPharmacology,1,modulator
SLC25A5,"(S)-3,4-DCPG",GuideToPharmacology,1,agonist
SLC25A4,[3H]LY341495,GuideToPharmacology,1,inhibitor
NR2F6,MEK1/2 INHIBITOR,GuideToPharmacology,1,inhibitor
CTNS,COMPOUND 20 [PMID: 30998356],GuideToPharmacology,1,inhibitor
AADAC,FURTRETHONIUM IODIDE,GuideToPharmacology,1,agonist
AAMP,OXYBUTYNIN,GuideToPharmacology,1,inhibitor
AAMP,[3H]QNB,GuideToPharmacology,1,inhibitor
AANAT,XANOMELINE,GuideToPharmacology,1,agonist
AARS1,P-F-HHSID,GuideToPharmacology,1,inhibitor
AARS1,[3H]QNB,GuideToPharmacology,1,inhibitor
AARS1,OTENZEPAD,GuideToPharmacology,1,inhibitor
AAVS1,BETHANECHOL,GuideToPharmacology,1,agonist
AAVS1,ACECLIDINE,GuideToPharmacology,1,agonist
AAVS1,XANOMELINE,GuideToPharmacology,1,agonist
AAVS1,DOTHIEPIN,GuideToPharmacology,1,inhibitor
ANK2,EFPPEA,GuideToPharmacology,1,agonist
ANK2,ICOA-13,GuideToPharmacology,1,agonist
ANK2,GR 128107,GuideToPharmacology,1,agonist
APOF,3F-MT-45,GuideToPharmacology,1,agonist
BAK1,AFT-II,GuideToPharmacology,1,inhibitor
CD70,HYDROCHLOROTHIAZIDE,GuideToPharmacology,1,inhibitor
BARD1,AFT-II,GuideToPharmacology,1,inhibitor
BAX,AM-6120,GuideToPharmacology,1,inhibitor
ATP1A1,PHTX-11,GuideToPharmacology,1,inhibitor
AQP3,SUBSTANCE P-OME,GuideToPharmacology,1,agonist
DNAH9,"CP-424,174",GuideToPharmacology,1,inhibitor
AQP5,"N&#8242;,2-DIPHENYLQUINOLINE-4-CARBOHYDRAZIDE",GuideToPharmacology,1,inhibitor
NMUR1,NEUROMEDIN U-23,GuideToPharmacology,1,agonist
NMUR2,HAS-NMU,GuideToPharmacology,1,agonist
NMUR2,CPN-116,GuideToPharmacology,1,agonist
NMUR2,NEUROMEDIN U-23,GuideToPharmacology,1,agonist
ANXA7,JMV431,GuideToPharmacology,1,agonist
NUAK1,HTH-02-006,GuideToPharmacology,1,inhibitor
GTF2F2P1,CRAC CHANNEL INHIBITOR 1 [PMID: 26256403],GuideToPharmacology,1,blocker
HK3,LY3372689,GuideToPharmacology,1,inhibitor
APBB2,2MESATP,GuideToPharmacology,1,agonist
APBB2,2MESATP,GuideToPharmacology,1,inhibitor
APBB2,[32P]MRS2500,GuideToPharmacology,1,inhibitor
FRA4C,COMPOUND 3 [PMID: 8410973],GuideToPharmacology,1,inhibitor
APOE,ISOX-CHA-CHG-ARK(SULFO-CY5)-NH2,GuideToPharmacology,1,agonist
APOH,AYPGKF-NH2,GuideToPharmacology,1,agonist
BCKDHA,NS-220,GuideToPharmacology,1,agonist
BCKDHA,SELADELPAR,GuideToPharmacology,1,agonist
CCND1,SELADELPAR,GuideToPharmacology,1,agonist
CCND1,ZAFIRLUKAST,GuideToPharmacology,1,agonist
CCND1,TAGITININ A,GuideToPharmacology,1,agonist
CCND1,MDG 548,GuideToPharmacology,1,agonist
F5,AZD3458,GuideToPharmacology,1,inhibitor
F5,IDELALISIB,GuideToPharmacology,1,inhibitor
PIK3CB,AMDIZALISIB,GuideToPharmacology,1,inhibitor
PIK3CB,AZ2,GuideToPharmacology,1,inhibitor
PIK3CB,COMPOUND 5D [PMID: 31335136],GuideToPharmacology,1,inhibitor
F7,AMDIZALISIB,GuideToPharmacology,1,inhibitor
F7,AZ2,GuideToPharmacology,1,inhibitor
PIK3CB,ZANDELISIB,GuideToPharmacology,1,inhibitor
F7R,DS-7423,GuideToPharmacology,1,inhibitor
F7,ZANDELISIB,GuideToPharmacology,1,inhibitor
F7R,AZD3458,GuideToPharmacology,1,inhibitor
COL8A2,COMPOUND 3M [PMID: 32603117],GuideToPharmacology,1,inhibitor
COL9A1,CYCLIC GMP,GuideToPharmacology,1,activator
PDE5A,PF-00489791,GuideToPharmacology,1,inhibitor
PDE5A,GISADENAFIL,GuideToPharmacology,1,inhibitor
PDE5A,COMPOUND 3M [PMID: 32603117],GuideToPharmacology,1,inhibitor
COL13A1,CRISABOROLE,GuideToPharmacology,1,inhibitor
PDE5A,TPN171,GuideToPharmacology,1,inhibitor
COL12A1,NERANDOMILAST,GuideToPharmacology,1,inhibitor
F10,LGB321,GuideToPharmacology,1,inhibitor
FRA6B,SEMAGACESTAT,GuideToPharmacology,1,inhibitor
BDNF,WAY-255348,GuideToPharmacology,1,inhibitor
FABP4,(S)-RP-6306,GuideToPharmacology,1,inhibitor
APOA4,PRRP-20,GuideToPharmacology,1,agonist
BIRC5,TIP39-(7-39) (HUMAN/BOVINE),GuideToPharmacology,1,inhibitor
FAH,NAPORAFENIB,GuideToPharmacology,1,inhibitor
FAH,SB590885,GuideToPharmacology,1,inhibitor
BCL2L2,CD2314,GuideToPharmacology,1,agonist
BAK1P1,TAK-828F,GuideToPharmacology,1,agonist
BAK1P1,SR2211,GuideToPharmacology,1,agonist
BCL2L2,TRETINOIN,GuideToPharmacology,1,agonist
BCL2L2,TRETINOIN,GuideToPharmacology,1,inhibitor
BCL2L1,7-HYDROXYCHOLESTEROL,GuideToPharmacology,1,agonist
CTRB1,VEROSUDIL,GuideToPharmacology,1,inhibitor
DVL2,COMPOUND 1 [PMID: 21882820],GuideToPharmacology,1,inhibitor
APP,B-R13/17K H2 RELAXIN,GuideToPharmacology,1,inhibitor
CXADR,COMPOUND 1 [PMID: 20005102],GuideToPharmacology,1,inhibitor
APP,SA10SC-RLX,GuideToPharmacology,1,agonist
AMT,RP-101075,GuideToPharmacology,1,agonist
RYR3,MG2+,GuideToPharmacology,1,inhibitor
AMY2A,A-971432,GuideToPharmacology,1,agonist
AMY1B,SPHINGOSINE 1-PHOSPHATE,GuideToPharmacology,1,agonist
AMY2A,FINGOLIMOD-PHOSPHATE,GuideToPharmacology,1,agonist
FCN1,XMU-MP-1,GuideToPharmacology,1,inhibitor
